province,province_folder,kabupaten,year,tmax_annual,tmin_annual,tmean_annual,ppt_annual,ppt_std,credit_score
Aceh,aceh,KAB. BENER MERIAH,2025,29.72,21.0,25.36,1068.3,154.17,598
Aceh,aceh,KAB. BIREUEN,2021,29.12,20.62,24.87,1017.7,55.08,644
Aceh,aceh,KAB. BIREUEN,2022,28.86,20.51,24.69,1112.8,94.31,615
Aceh,aceh,KAB. BIREUEN,2023,29.21,20.75,24.98,1070.9,64.18,621
Aceh,aceh,KAB. BIREUEN,2024,28.69,20.39,24.54,1114.0,112.73,619
Aceh,aceh,KAB. BIREUEN,2025,29.1,20.5,24.8,989.8,115.96,617
Aceh,aceh,KAB. GAYO LUES,2021,29.0,20.52,24.76,1015.6,73.45,634
Aceh,aceh,KAB. GAYO LUES,2022,28.65,20.34,24.5,1039.3,88.97,639
Aceh,aceh,KAB. GAYO LUES,2023,29.25,20.78,25.02,1163.4,92.69,598
Aceh,aceh,KAB. GAYO LUES,2024,28.76,20.44,24.6,1074.7,107.61,610
Aceh,aceh,KAB. GAYO LUES,2025,29.25,20.62,24.94,1130.7,171.15,566
Aceh,aceh,KAB. NAGAN RAYA,2021,29.09,20.6,24.84,1177.1,85.45,612
Aceh,aceh,KAB. NAGAN RAYA,2022,28.95,20.58,24.76,1105.5,94.99,631
Aceh,aceh,KAB. NAGAN RAYA,2023,28.59,20.25,24.42,1057.8,69.6,634
Aceh,aceh,KAB. NAGAN RAYA,2024,29.49,21.02,25.26,1334.9,71.87,657
Aceh,aceh,KAB. NAGAN RAYA,2025,29.34,20.69,25.02,960.5,106.28,609
Aceh,aceh,KAB. PIDIE,2021,29.35,20.8,25.08,1091.4,54.97,628
Aceh,aceh,KAB. PIDIE,2022,28.26,20.03,24.15,1185.1,72.65,637
Aceh,aceh,KAB. PIDIE,2023,29.08,20.65,24.86,1080.4,67.11,617
Aceh,aceh,KAB. PIDIE,2024,30.52,21.85,26.19,1200.5,69.5,604
Aceh,aceh,KAB. PIDIE,2025,29.09,20.49,24.79,1036.5,126.15,618
Aceh,aceh,KAB. PIDIE JAYA,2021,28.41,20.05,24.23,1077.1,78.72,632
Aceh,aceh,KAB. PIDIE JAYA,2022,29.05,20.67,24.86,1034.7,78.58,610
Aceh,aceh,KAB. PIDIE JAYA,2023,28.74,20.37,24.55,1024.5,103.36,602
Aceh,aceh,KAB. PIDIE JAYA,2024,29.65,21.15,25.4,1048.9,113.65,592
Aceh,aceh,KAB. PIDIE JAYA,2025,30.06,21.27,25.66,1172.1,90.57,603
Aceh,aceh,KAB. SIMEULUE,2021,28.57,20.17,24.37,1187.6,60.53,654
Aceh,aceh,KAB. SIMEULUE,2022,28.84,20.5,24.67,1192.7,69.7,608
Aceh,aceh,KAB. SIMEULUE,2023,28.94,20.54,24.74,817.5,61.52,626
Aceh,aceh,KAB. SIMEULUE,2024,29.32,20.89,25.11,1049.9,124.37,601
Aceh,aceh,KAB. SIMEULUE,2025,28.28,19.85,24.06,1054.3,115.32,590
Aceh,aceh,KOTA BANDA ACEH,2021,29.53,20.94,25.24,971.4,88.59,598
Aceh,aceh,KOTA BANDA ACEH,2022,28.62,20.32,24.47,1052.2,90.53,613
Aceh,aceh,KOTA BANDA ACEH,2023,29.07,20.64,24.86,1028.7,77.93,610
Aceh,aceh,KOTA BANDA ACEH,2024,29.26,20.84,25.05,1158.8,109.81,608
Aceh,aceh,KOTA BANDA ACEH,2025,29.79,21.05,25.42,990.5,145.36,580
Aceh,aceh,KOTA LANGSA,2021,27.83,19.59,23.71,1074.1,79.97,630
Aceh,aceh,KOTA LANGSA,2022,28.76,20.43,24.6,1080.9,80.48,631
Aceh,aceh,KOTA LANGSA,2023,28.73,20.36,24.54,1029.6,89.63,647
Aceh,aceh,KOTA LANGSA,2024,29.63,21.13,25.38,1094.3,113.38,623
Aceh,aceh,KOTA LANGSA,2025,29.15,20.54,24.84,1154.5,122.81,573
Aceh,aceh,KOTA LHOKSEUMAWE,2021,28.39,20.04,24.21,1041.5,82.35,638
Aceh,aceh,KOTA LHOKSEUMAWE,2022,28.92,20.56,24.74,1129.0,85.36,618
Aceh,aceh,KOTA LHOKSEUMAWE,2023,29.61,21.07,25.34,1029.4,85.09,613
Aceh,aceh,KOTA LHOKSEUMAWE,2024,29.35,20.91,25.13,1132.3,116.36,595
Aceh,aceh,KOTA LHOKSEUMAWE,2025,29.41,20.75,25.08,1154.6,132.95,595
Aceh,aceh,KOTA SABANG,2021,28.82,20.38,24.6,1140.8,66.49,632
Aceh,aceh,KOTA SABANG,2022,28.78,20.45,24.62,1120.3,85.06,614
Aceh,aceh,KOTA SABANG,2023,29.27,20.8,25.03,1011.3,108.27,593
Aceh,aceh,KOTA SABANG,2024,28.95,20.59,24.77,1052.6,117.25,600
Aceh,aceh,KOTA SABANG,2025,29.39,20.74,25.06,1139.4,122.79,602
Aceh,aceh,KOTA SUBULUSSALAM,2021,28.8,20.36,24.58,1014.5,72.28,637
Aceh,aceh,KOTA SUBULUSSALAM,2022,28.28,20.05,24.16,1208.7,81.4,644
Aceh,aceh,KOTA SUBULUSSALAM,2023,28.56,20.23,24.4,1051.1,83.08,619
Aceh,aceh,KOTA SUBULUSSALAM,2024,29.17,20.77,24.97,1084.0,103.54,614
Aceh,aceh,KOTA SUBULUSSALAM,2025,29.12,20.52,24.82,1048.9,106.3,623
Bali,bali,KAB. BADUNG,2021,29.84,20.54,25.19,986.6,106.77,616
Bali,bali,KAB. BADUNG,2022,29.35,20.17,24.76,1155.5,100.73,607
Bali,bali,KAB. BADUNG,2023,30.64,20.86,25.75,718.0,81.04,595
Bali,bali,KAB. BADUNG,2024,30.21,20.76,25.49,805.0,111.74,594
Bali,bali,KAB. BADUNG,2025,29.51,20.46,24.98,1162.5,75.75,599
Bali,bali,KAB. BANGLI,2021,29.99,20.66,25.32,1225.1,126.25,585
Bali,bali,KAB. BANGLI,2022,29.91,20.62,25.27,1227.8,90.04,616
Bali,bali,KAB. BANGLI,2023,30.01,20.35,25.18,650.4,84.9,615
Bali,bali,KAB. BANGLI,2024,29.83,20.46,25.15,887.2,119.48,589
Bali,bali,KAB. BANGLI,2025,30.38,21.15,25.77,1213.4,120.45,588
Bali,bali,KAB. BULELENG,2021,29.34,20.14,24.74,1172.3,130.63,583
Bali,bali,KAB. BULELENG,2022,30.81,21.34,26.07,1107.9,83.47,605
Bali,bali,KAB. BULELENG,2023,29.6,20.03,24.81,479.4,75.55,614
Bali,bali,KAB. BULELENG,2024,29.84,20.46,25.15,897.3,117.14,590
Bali,bali,KAB. BULELENG,2025,30.59,21.32,25.96,1212.7,79.5,594
Bali,bali,KAB. GIANYAR,2021,29.28,20.09,24.68,1141.8,108.07,605
Bali,bali,KAB. GIANYAR,2022,30.63,21.19,25.91,1266.9,89.03,588
Bali,bali,KAB. GIANYAR,2023,29.04,19.58,24.31,757.7,81.72,630
Bali,bali,KAB. GIANYAR,2024,30.84,21.26,26.05,757.7,103.02,580
Bali,bali,KAB. GIANYAR,2025,29.66,20.57,25.12,1140.4,81.4,636
Bali,bali,KAB. JEMBRANA,2021,30.04,20.7,25.37,1017.1,125.74,610
Bali,bali,KAB. JEMBRANA,2022,29.77,20.51,25.14,1213.7,106.74,586
Bali,bali,KAB. JEMBRANA,2023,29.34,19.82,24.58,526.6,102.6,608
Bali,bali,KAB. JEMBRANA,2024,30.39,20.9,25.64,825.4,135.28,569
Bali,bali,KAB. JEMBRANA,2025,29.71,20.62,25.17,1231.0,89.17,603
Bali,bali,KAB. KARANGASEM,2021,30.76,21.27,26.01,1242.9,124.14,608
Bali,bali,KAB. KARANGASEM,2022,30.2,20.85,25.52,1224.2,116.59,585
Bali,bali,KAB. KARANGASEM,2023,29.42,19.88,24.65,704.2,99.32,613
Bali,bali,KAB. KARANGASEM,2024,29.34,20.06,24.7,790.6,81.42,625
Bali,bali,KAB. KARANGASEM,2025,29.52,20.46,24.99,1194.0,110.69,586
Bali,bali,KAB. KLUNGKUNG,2021,29.76,20.48,25.12,1232.8,107.18,587
Bali,bali,KAB. KLUNGKUNG,2022,28.86,19.78,24.32,1168.1,101.82,596
Bali,bali,KAB. KLUNGKUNG,2023,29.88,20.25,25.07,484.0,82.1,595
Bali,bali,KAB. KLUNGKUNG,2024,29.57,20.24,24.91,938.8,117.51,555
Bali,bali,KAB. KLUNGKUNG,2025,29.18,20.2,24.69,1095.5,72.27,631
Bali,bali,KAB. TABANAN,2021,29.7,20.42,25.06,1178.9,113.09,629
Bali,bali,KAB. TABANAN,2022,29.97,20.66,25.31,1130.2,84.17,608
Bali,bali,KAB. TABANAN,2023,29.84,20.22,25.03,566.5,75.13,591
Bali,bali,KAB. TABANAN,2024,29.62,20.29,24.95,1042.4,112.54,590
Bali,bali,KAB. TABANAN,2025,29.3,20.29,24.8,1153.8,86.47,608
Bali,bali,KOTA DENPASAR,2021,29.62,20.36,24.99,1151.6,139.24,573
Bali,bali,KOTA DENPASAR,2022,29.45,20.25,24.85,1126.5,91.94,623
Bali,bali,KOTA DENPASAR,2023,28.75,19.34,24.05,528.1,103.94,627
Bali,bali,KOTA DENPASAR,2024,31.04,21.42,26.23,865.3,120.66,558
Bali,bali,KOTA DENPASAR,2025,29.81,20.7,25.25,1382.9,104.95,611
Banten,banten,KAB. LEBAK,2021,30.9,21.45,26.18,1135.1,74.93,620
Banten,banten,KAB. LEBAK,2022,30.92,21.5,26.21,1370.1,64.76,630
Banten,banten,KAB. LEBAK,2023,30.87,21.17,26.02,709.5,137.68,614
Banten,banten,KAB. LEBAK,2024,31.96,22.28,27.12,1228.7,172.63,527
Banten,banten,KAB. LEBAK,2025,31.15,21.71,26.43,1393.3,106.13,623
Banten,banten,KAB. PANDEGLANG,2021,31.23,21.72,26.48,1128.5,96.17,578
Banten,banten,KAB. PANDEGLANG,2022,30.38,21.06,25.72,1320.0,99.98,585
Banten,banten,KAB. PANDEGLANG,2023,32.15,22.19,27.17,684.2,120.82,565
Banten,banten,KAB. PANDEGLANG,2024,31.19,21.67,26.43,1190.4,141.55,556
Banten,banten,KAB. PANDEGLANG,2025,30.68,21.33,26.01,1466.1,70.82,608
Banten,banten,KAB. SERANG,2021,31.1,21.61,26.36,1207.5,95.45,566
Banten,banten,KAB. SERANG,2022,30.37,21.05,25.71,1384.4,97.42,591
Banten,banten,KAB. SERANG,2023,31.45,21.63,26.54,717.8,113.87,592
Banten,banten,KAB. SERANG,2024,31.89,22.23,27.06,1095.8,158.58,547
Banten,banten,KAB. SERANG,2025,30.78,21.41,26.1,1507.9,71.84,602
Banten,banten,KAB. TANGERANG,2021,30.06,20.78,25.42,1081.3,99.75,606
Banten,banten,KAB. TANGERANG,2022,30.95,21.52,26.24,1358.2,95.67,605
Banten,banten,KAB. TANGERANG,2023,30.37,20.77,25.57,790.8,94.21,571
Banten,banten,KAB. TANGERANG,2024,31.19,21.67,26.43,1233.2,137.53,575
Banten,banten,KAB. TANGERANG,2025,30.92,21.52,26.22,1542.8,74.63,593
Banten,banten,KOTA CILEGON,2021,31.38,21.84,26.61,1121.1,106.98,579
Banten,banten,KOTA CILEGON,2022,31.54,21.99,26.77,1232.9,74.14,604
Banten,banten,KOTA CILEGON,2023,31.49,21.66,26.57,779.8,117.94,552
Banten,banten,KOTA CILEGON,2024,31.21,21.69,26.45,1236.3,148.1,546
Banten,banten,KOTA CILEGON,2025,31.7,22.14,26.92,1482.6,88.35,551
Banten,banten,KOTA SERANG,2021,30.76,21.34,26.05,1172.5,92.54,583
Banten,banten,KOTA SERANG,2022,31.02,21.57,26.3,1396.9,90.44,609
Banten,banten,KOTA SERANG,2023,32.24,22.26,27.25,865.7,107.49,562
Banten,banten,KOTA SERANG,2024,32.12,22.41,27.26,1196.7,119.86,540
Banten,banten,KOTA SERANG,2025,30.61,21.27,25.94,1312.6,78.01,592
Banten,banten,KOTA TANGERANG,2021,30.97,21.51,26.24,1345.6,103.93,561
Banten,banten,KOTA TANGERANG,2022,30.71,21.33,26.02,1496.9,52.93,592
Banten,banten,KOTA TANGERANG,2023,31.32,21.53,26.42,857.7,90.2,590
Banten,banten,KOTA TANGERANG,2024,32.09,22.38,27.24,1256.5,144.2,533
Banten,banten,KOTA TANGERANG,2025,31.43,21.93,26.68,1643.9,86.01,601
Banten,banten,KOTA TANGERANG SELATAN,2021,31.09,21.61,26.35,1174.7,86.28,588
Banten,banten,KOTA TANGERANG SELATAN,2022,31.24,21.75,26.49,1362.1,87.17,588
Banten,banten,KOTA TANGERANG SELATAN,2023,30.96,21.24,26.1,834.4,117.38,574
Banten,banten,KOTA TANGERANG SELATAN,2024,32.03,22.34,27.19,1188.6,146.38,562
Banten,banten,KOTA TANGERANG SELATAN,2025,30.63,21.29,25.96,1426.7,88.94,607
Bengkulu,bengkulu,KAB. BENGKULU SELATAN,2021,29.1,19.88,24.49,582.8,100.75,617
Bengkulu,bengkulu,KAB. BENGKULU SELATAN,2022,29.35,19.95,24.65,648.0,116.19,610
Bengkulu,bengkulu,KAB. BENGKULU SELATAN,2023,28.47,19.37,23.92,387.8,55.49,637
Bengkulu,bengkulu,KAB. BENGKULU SELATAN,2024,30.15,20.77,25.46,725.9,123.39,595
Bengkulu,bengkulu,KAB. BENGKULU SELATAN,2025,29.02,19.86,24.44,488.1,96.83,609
Bengkulu,bengkulu,KAB. BENGKULU TENGAH,2021,28.78,19.63,24.21,665.4,98.6,617
Bengkulu,bengkulu,KAB. BENGKULU TENGAH,2022,28.91,19.6,24.25,632.8,76.18,621
Bengkulu,bengkulu,KAB. BENGKULU TENGAH,2023,29.09,19.87,24.48,637.9,102.36,604
Bengkulu,bengkulu,KAB. BENGKULU TENGAH,2024,30.2,20.81,25.5,632.7,109.38,582
Bengkulu,bengkulu,KAB. BENGKULU TENGAH,2025,28.82,19.7,24.26,582.6,76.56,633
Bengkulu,bengkulu,KAB. BENGKULU UTARA,2021,27.87,18.9,23.39,779.0,85.34,655
Bengkulu,bengkulu,KAB. BENGKULU UTARA,2022,28.46,19.23,23.85,533.9,63.22,654
Bengkulu,bengkulu,KAB. BENGKULU UTARA,2023,29.26,20.01,24.64,493.2,62.82,607
Bengkulu,bengkulu,KAB. BENGKULU UTARA,2024,28.76,19.65,24.2,646.7,149.26,615
Bengkulu,bengkulu,KAB. BENGKULU UTARA,2025,28.75,19.65,24.2,457.9,56.46,631
Bengkulu,bengkulu,KAB. KAUR,2021,28.58,19.47,24.03,440.9,86.89,634
Bengkulu,bengkulu,KAB. KAUR,2022,28.55,19.31,23.93,670.6,115.77,599
Bengkulu,bengkulu,KAB. KAUR,2023,29.42,20.13,24.77,465.9,65.58,624
Bengkulu,bengkulu,KAB. KAUR,2024,30.69,21.2,25.95,678.3,124.44,584
Bengkulu,bengkulu,KAB. KAUR,2025,28.87,19.74,24.31,594.0,57.98,611
Bengkulu,bengkulu,KAB. KEPAHIANG,2021,28.43,19.35,23.89,612.9,87.22,636
Bengkulu,bengkulu,KAB. KEPAHIANG,2022,28.4,19.19,23.79,557.9,89.64,646
Bengkulu,bengkulu,KAB. KEPAHIANG,2023,28.72,19.58,24.15,607.7,42.41,639
Bengkulu,bengkulu,KAB. KEPAHIANG,2024,29.95,20.61,25.28,773.3,93.13,623
Bengkulu,bengkulu,KAB. KEPAHIANG,2025,28.71,19.61,24.16,548.5,39.04,640
Bengkulu,bengkulu,KAB. LEBONG,2021,28.33,19.27,23.8,567.8,113.99,630
Bengkulu,bengkulu,KAB. LEBONG,2022,29.14,19.78,24.46,716.6,98.87,579
Bengkulu,bengkulu,KAB. LEBONG,2023,28.29,19.23,23.76,445.4,89.51,664
Bengkulu,bengkulu,KAB. LEBONG,2024,28.79,19.68,24.24,730.6,120.62,630
Bengkulu,bengkulu,KAB. LEBONG,2025,28.7,19.6,24.15,635.1,66.81,627
Bengkulu,bengkulu,KAB. MUKO MUKO,2021,28.54,19.44,23.99,749.4,71.49,602
Bengkulu,bengkulu,KAB. MUKO MUKO,2022,28.98,19.65,24.31,662.3,83.4,625
Bengkulu,bengkulu,KAB. MUKO MUKO,2023,29.02,19.81,24.41,387.3,96.03,593
Bengkulu,bengkulu,KAB. MUKO MUKO,2024,29.31,20.1,24.7,631.8,139.96,599
Bengkulu,bengkulu,KAB. MUKO MUKO,2025,28.53,19.47,24.0,465.5,36.8,653
Bengkulu,bengkulu,KAB. REJANG LEBONG,2021,29.02,19.82,24.42,554.2,114.03,593
Bengkulu,bengkulu,KAB. REJANG LEBONG,2022,27.63,18.57,23.1,750.6,91.21,653
Bengkulu,bengkulu,KAB. REJANG LEBONG,2023,28.8,19.64,24.22,443.8,88.16,633
Bengkulu,bengkulu,KAB. REJANG LEBONG,2024,29.38,20.16,24.77,761.8,125.94,612
Bengkulu,bengkulu,KAB. REJANG LEBONG,2025,28.96,19.81,24.38,549.1,59.29,631
Bengkulu,bengkulu,KAB. SELUMA,2021,28.87,19.7,24.29,519.8,67.49,608
Bengkulu,bengkulu,KAB. SELUMA,2022,29.04,19.7,24.37,628.6,85.28,634
Bengkulu,bengkulu,KAB. SELUMA,2023,28.86,19.69,24.27,515.2,74.08,622
Bengkulu,bengkulu,KAB. SELUMA,2024,29.01,19.86,24.44,689.2,109.55,588
Bengkulu,bengkulu,KAB. SELUMA,2025,29.09,19.91,24.5,442.0,75.59,643
Bengkulu,bengkulu,KOTA BENGKULU,2021,28.96,19.77,24.36,677.1,102.45,644
Bengkulu,bengkulu,KOTA BENGKULU,2022,29.5,20.07,24.79,696.0,60.43,622
Bengkulu,bengkulu,KOTA BENGKULU,2023,28.21,19.17,23.69,437.4,82.57,664
Bengkulu,bengkulu,KOTA BENGKULU,2024,29.66,20.38,25.02,615.5,127.03,594
Bengkulu,bengkulu,KOTA BENGKULU,2025,28.51,19.45,23.98,529.3,39.05,640
DI Yogyakarta,daerah_istimewa_yogyakarta,KAB. BANTUL,2021,29.66,21.66,25.66,1361.4,167.57,566
DI Yogyakarta,daerah_istimewa_yogyakarta,KAB. BANTUL,2022,30.43,22.43,26.43,1388.3,178.56,584
DI Yogyakarta,daerah_istimewa_yogyakarta,KAB. BANTUL,2023,30.36,21.85,26.11,826.9,113.8,576
DI Yogyakarta,daerah_istimewa_yogyakarta,KAB. BANTUL,2024,30.94,22.6,26.77,1080.1,150.14,576
DI Yogyakarta,daerah_istimewa_yogyakarta,KAB. BANTUL,2025,31.29,23.22,27.25,1514.6,172.73,542
DI Yogyakarta,daerah_istimewa_yogyakarta,KAB. GUNUNGKIDUL,2021,29.77,21.75,25.76,1466.7,208.77,549
DI Yogyakarta,daerah_istimewa_yogyakarta,KAB. GUNUNGKIDUL,2022,29.59,21.76,25.67,1609.3,149.69,599
DI Yogyakarta,daerah_istimewa_yogyakarta,KAB. GUNUNGKIDUL,2023,29.83,21.43,25.63,862.7,141.26,578
DI Yogyakarta,daerah_istimewa_yogyakarta,KAB. GUNUNGKIDUL,2024,30.9,22.57,26.74,1000.6,137.4,564
DI Yogyakarta,daerah_istimewa_yogyakarta,KAB. GUNUNGKIDUL,2025,29.88,22.1,25.99,1516.3,164.8,590
DI Yogyakarta,daerah_istimewa_yogyakarta,KAB. KULON PROGO,2021,30.21,22.1,26.16,1362.7,187.91,583
DI Yogyakarta,daerah_istimewa_yogyakarta,KAB. KULON PROGO,2022,30.21,22.25,26.23,1509.0,155.29,582
DI Yogyakarta,daerah_istimewa_yogyakarta,KAB. KULON PROGO,2023,30.53,21.99,26.26,848.8,125.62,571
DI Yogyakarta,daerah_istimewa_yogyakarta,KAB. KULON PROGO,2024,29.76,21.66,25.71,1160.6,151.42,573
DI Yogyakarta,daerah_istimewa_yogyakarta,KAB. KULON PROGO,2025,30.14,22.3,26.22,1420.1,139.28,582
DI Yogyakarta,daerah_istimewa_yogyakarta,KAB. SLEMAN,2021,30.65,22.45,26.55,1466.4,192.43,556
DI Yogyakarta,daerah_istimewa_yogyakarta,KAB. SLEMAN,2022,29.91,22.02,25.97,1466.6,153.15,563
DI Yogyakarta,daerah_istimewa_yogyakarta,KAB. SLEMAN,2023,29.85,21.45,25.65,819.8,119.74,604
DI Yogyakarta,daerah_istimewa_yogyakarta,KAB. SLEMAN,2024,30.37,22.15,26.26,1101.5,151.64,573
DI Yogyakarta,daerah_istimewa_yogyakarta,KAB. SLEMAN,2025,29.77,22.0,25.89,1622.8,142.07,559
DI Yogyakarta,daerah_istimewa_yogyakarta,KOTA YOGYAKARTA,2021,30.03,21.95,25.99,1434.3,203.91,541
DI Yogyakarta,daerah_istimewa_yogyakarta,KOTA YOGYAKARTA,2022,30.0,22.09,26.04,1546.8,116.79,584
DI Yogyakarta,daerah_istimewa_yogyakarta,KOTA YOGYAKARTA,2023,30.24,21.76,26.0,883.3,127.91,583
DI Yogyakarta,daerah_istimewa_yogyakarta,KOTA YOGYAKARTA,2024,31.12,22.75,26.94,1084.8,169.45,582
DI Yogyakarta,daerah_istimewa_yogyakarta,KOTA YOGYAKARTA,2025,31.16,23.12,27.14,1493.3,148.81,566
DKI Jakarta,dki_jakarta,KAB. ADM. KEP. SERIBU,2021,32.57,24.49,28.53,438.3,93.4,553
DKI Jakarta,dki_jakarta,KAB. ADM. KEP. SERIBU,2022,31.64,23.66,27.65,239.6,22.54,612
DKI Jakarta,dki_jakarta,KAB. ADM. KEP. SERIBU,2023,32.12,23.85,27.98,200.0,82.8,571
DKI Jakarta,dki_jakarta,KAB. ADM. KEP. SERIBU,2024,32.63,24.5,28.57,286.7,119.15,558
DKI Jakarta,dki_jakarta,KAB. ADM. KEP. SERIBU,2025,31.57,23.7,27.63,389.1,86.7,591
DKI Jakarta,dki_jakarta,KOTA ADM. JAKARTA BARAT,2021,31.82,23.89,27.85,365.9,84.4,598
DKI Jakarta,dki_jakarta,KOTA ADM. JAKARTA BARAT,2022,32.04,23.98,28.01,275.5,50.1,591
DKI Jakarta,dki_jakarta,KOTA ADM. JAKARTA BARAT,2023,32.72,24.33,28.53,391.2,84.75,592
